CustomerID,Amount,Frequency,Recency,labels3
12346.0,77183.6,1,325,2
12747.0,4196.010000000001,11,1,0
12748.0,33719.730000000316,210,0,2
12749.0,4090.880000000001,5,3,0
12820.0,942.3399999999999,4,2,0
12821.0,92.72,1,213,1
12822.0,948.8799999999999,2,70,0
12823.0,1759.5,5,74,0
12824.0,397.11999999999995,1,59,0
12826.0,1474.7199999999993,7,2,0
12827.0,430.15,3,5,0
12828.0,1018.7100000000003,6,2,0
12829.0,293.0,2,336,1
12830.0,6814.640000000001,6,37,0
12831.0,215.05,1,261,1
12832.0,383.03000000000003,2,31,0
12833.0,417.37999999999994,1,144,1
12834.0,312.38,1,282,1
12836.0,2612.8599999999988,4,58,0
12837.0,134.1,1,172,1
12838.0,683.1299999999994,2,33,0
12839.0,5591.420000000003,14,2,0
12840.0,2726.769999999999,4,143,0
12841.0,4022.3499999999967,25,4,0
12842.0,1118.99,2,69,0
12843.0,1702.26,8,65,0
12844.0,325.9599999999999,2,28,0
12845.0,354.09000000000003,4,266,1
12847.0,871.5399999999998,1,21,0
12849.0,1050.8899999999999,2,30,0
12851.0,135.17999999999995,1,96,0
12852.0,311.54999999999995,1,294,1
12853.0,1957.1,6,134,0
12854.0,1324.5000000000007,3,78,0
12855.0,38.1,1,372,1
12856.0,2179.9300000000007,6,7,0
12857.0,1106.4000000000003,2,210,1
12863.0,521.2,1,51,0
12864.0,147.12,1,137,1
12867.0,4036.819999999996,7,25,0
12868.0,1607.0600000000009,6,185,1
12871.0,380.64000000000004,2,83,0
12872.0,599.9699999999998,2,326,1
12873.0,374.0,1,281,1
12875.0,343.2300000000001,2,142,1
12877.0,1535.7700000000007,12,3,0
12878.0,854.9899999999999,2,235,1
12879.0,573.22,3,44,0
12881.0,298.0,1,275,1
12882.0,1463.0399999999995,2,8,0
12883.0,703.4700000000001,4,24,0
12884.0,309.05000000000007,1,87,0
12885.0,1175.2199999999996,3,62,0
12886.0,1378.4,2,67,0
12888.0,354.12,2,213,1
12890.0,380.46999999999997,1,23,0
12891.0,331.0,3,185,1
12893.0,188.14,1,30,0
12895.0,372.79999999999995,2,41,0
12897.0,216.5,2,204,1
12901.0,17654.539999999997,28,8,0
12902.0,138.68,1,264,1
12904.0,509.57999999999976,2,17,0
12906.0,2919.809999999999,5,11,0
12908.0,750.0,2,175,1
12909.0,2178.67,5,39,0
12910.0,3075.0400000000013,8,22,0
12912.0,1662.3,5,2,0
12913.0,2483.6299999999997,5,4,0
12915.0,363.65,2,148,1
12916.0,3006.1500000000005,4,138,0
12917.0,594.0,1,127,0
12919.0,1335.1899999999998,6,7,0
12920.0,164.23000000000002,1,16,0
12921.0,16587.09000000002,37,8,0
12922.0,405.38,1,160,1
12923.0,176.97,1,63,0
12924.0,933.7000000000003,4,87,0
